Business Name,Business Category,Address,Contact
JAY MAA AMBEY FURNITURE WORKSHOP,Furniture store,"HX4F+9XH, FCI Rd",073528 59570
श्री विश्वकर्मा फर्निचर,Furniture store,"HX9R+XRH, Golambar - Jaso Rd",072504 32845
Shankar Ply House,Furniture store,"Shop No 99, Near Petrol Pump",070617 47309
Sanjay Kumar Sharma Furniture,Furniture store,"BSNL Tower, Main Road",086515 64490
Sudama Almunium Furniter,Furniture store,"101, Krishna Braham Rd",098010 70913
Rahul Kirana and General Store,General store,ward no-03,084091 37637
Kawash General Store,General store,"Main Road, opposite Satyadeo Mill",093080 07933
Praful General Shop,General store,"Police Chowki, near Raj Mobile Shop",083906 71031
vivek mashala store,General store,infront of jp library,086517 65978
Sumit Anil General Store,General store,"Shop No 01, near Shiv Mandir",073502 32300
Purum General Store,General store,"Shop No 01, near Durga Mandir",070134 30667
Lovely General Store,Store,PP Rd,094318 46902
Nita Navnath General Store,General store,"Shop No 01, near Durga Mandir",095947 25063
Mauli General Store,General store,Bhumihari Feild,098349 96719
Manas General Store,General store,"Shop No 01, Road Golamber, near Punjab National Bank",088307 66497
Pappu kirana & general store,General store,"802101, Unnamed Road",072092 22992
Vijay kirana store (विजय किराना स्टोर),General store,"Ambedkar chowk, Station Rd, near Hotel Royal Plaza",074881 80410
Rajhans General Store,General store,Civil Line Road,076544 00161
General Store,General store,Main Road,062011 66959
Nandini General Store,General store,Buxar Main Rd,076779 84934
Nandlal General Store,General store,"Shop No 01, near Balliya Railway Station",093361 61241
Kajal General Store,General store,"Shop No 02, near Shiv Mandir",079783 94657
Bunty Kirana Store,General store,Buxar Main Rd,082288 38188
Kaushal General Shop,General store,near Baba Transport,083403 39005
Kunal General Store,General store,"Shop No 01, near Pokhra",078706 43155
Sonu Kirana Store,General store,Musafir Ganj,062064 28914
Satyanarayan Keshari,General store,Station Rd,093041 95060
Satendra General Store,General store,"Shop No 01, near Atta Mil",062007 46614
Rajana General Store,General store,"Shop No 01, near Unwash School",077022 87029
Ganesh General Store,General store,"Shop No 01, near Central Jail",088829 25098
Vikesh General Store,General store,"Shop No 02, near Bhunihari Field",093046 41760
General Shop,General store,"Police Chowki, near Vishal Mega Mart",087668 33675
Kanithi General Shop,General store,Hospital Road,088283 25456
Reshma shringar general Store,General store,Jahaj Ghat,072820 49241
Nag General Store,General store,"Shop No 01, near Bhushan Bhawan",072057 27315
Ramesh General Store,General store,"Ship No, 02",079910 34512
Rajkumar Store,General store,"Shop No 01, Main Road, near Bhunihari Field",070113 23652
Pritam General Shop,General store,Police Chowki,092639 98197
Daya General Store,General store,near Bhumihari Feild,077519 31278
Bhuneshwar General Store,General store,"Shop No 01, near Club",073546 62838
Swati General Store,General store,"Shop No 01, near Krishna Cinena",090395 29807
Imtiyaj Khan Kirana Store,General store,12 Barki,070610 57969
Vidhya General Store,General store,"Shop No 02, near Durga Mandir",098703 32507
Kailas General Shop,General store,"Police Chowki, near Raj Mobile Shop",083695 30197
Buddhashil General Store,General store,"Shop No 01, near Naya Bazar",097552 10148
Sujata General Store,General store,"Shop Nob01, near Civil Lines",084569 25257
Arpit General Store,General store,"Shop No 01, near Bhunihari Field",095207 59142
Hari General Store,General store,"Shop No 01, Main Road, near Aditya Birla Capital",096915 83437
Keshri General Store,General store,Natwar,079922 82294
Shashi General Store,General store,"Shop No 01, near Durga Mndir",062007 94705
Abhay General Store,General store,"Shop No 01, near Sai Today",090267 53889
Dhiru General Shop,General store,Main Road,092632 60641
Sarbani General Store,General store,Station Rd,083359 33614
Shiv Shanker General Store,General store,"Shop Non02, near Durga Mandir",085768 10391
Yash Shivaji General Store,General store,"Shop No 02, near Shiv Mandir Sohnipatii",073858 56823
Ramana General Store,General store,near Buniyadi Field,085988 73933
Anandi Store,General store,"Shop No 01, Mathia Rd, near Hanuman",074005 96804
BAAJI GENERAL STORE,General store,BUXAR MARKET,097081 99217
Yuvraj General Store,General store,"Shop No 01, near Bhunihari",084322 35950
Dhiraj General Store,General store,Police Choki,092792 13813
Pushpendra General Store,General store,"Shop No 02, near Nahar",088689 72347
